INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2011Jun,105,1.66,,,,,,,5,20,50,20,5,,,,,,,,,,,
2011Jun,106,1.7,,,,10,10,10,10,20,25,10,5,,,,,,,,,,,
2011Jun,107,1.7,,.02,.12,.59,2.22,6.18,12.71,17.22,21.88,20.36,10.46,5.65,1.97,.62,,,,,,,,
2011Jun,108,2.3,,,,,,,,4.3,14.2,62,18.8,.7,,,,,,,,,,
2014,1,2,,,,,1,2,6,17,24,20,15,10,4,1,,,,,,,,
2014,7,2,,,,,,,,,,,,,,,,,,,,,,
2014,8,2,,,,,1,2,9,17,23,25,15,5,2,1,,,,,,,,
2014,14,,,,,,,,,,,,,,,,,,,,,,,
2014,15,1.8,,,,,,5,5,25,30,25,5,5,,,,,,,,,,
2014,16,2.2,,2,3,5,6,7,9,10,14,16,11,10,6,1,,,,,,,,
2014,19,2.5,,,,,,,5,10,10,15,15,15,15,15,,,,,,,,
2014,20,2,,,,,,,5,15,30,35,10,5,,,,,,,,,,
2014,22,1.7,,,,,,,10,20,55,15,,,,,,,,,,,,
2014,23,2.2,,,,,,,,,,,,,,,,,,,,,,
2014,24,2,,,,,,,10,20,20,20,20,10,,,,,,,,,,
2014,29,,,,,,,,,,50,50,,,,,,,,,,,,
2014,30,1.9,,,,,,,,,,,,,,,,,,,,,,
2014,31,1.9,,,,,,,,10,35,35,20,,,,,,,,,,,
2014,32,,,,,,,,,,,,,,,,,,,,,,,
2014,33,2.5,,,,,,,,,20,30,30,20,,,,,,,,,,
2014,35,,,,,,,,,,,,,,,,,,,,,,,
2014,36,,,,,,,,,15,20,30,20,10,5,,,,,,,,,
2014,37,2.2,,,,,,,2,8,20,40,20,8,2,,,,,,,,,
2014,38,,,,,,,,,,,,,,,,,,,,,,,
