INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
2000Q1,59,2.3,,,,,10,70,20,,,
2000Q1,62,,,,,,,,,,,
2000Q1,63,,,,,,,,,,,
2000Q1,64,2.6,2,2,3,7,14,20,32,13,5,2
2000Q1,65,2.8,,,,,,20,50,30,,
2000Q1,67,2.2,,,,,30,70,,,,
2000Q1,70,2.9,,,,,,10,40,40,10,
2000Q1,72,2.4,,,2,8,20,35,25,8,2,
2000Q1,73,2.3,,,,,25,75,,,,
2000Q1,76,2.6,,,2.5,5,10,20,25,20,10,7.5
2000Q1,85,2.3,,,,,7,60,30,3,,
2000Q1,87,2.3,,,,,20,55,20,5,,
2000Q1,88,2.4,,,,5,15,45,25,10,,
2000Q1,90,2.5,,,,,,85,15,,,
2000Q1,91,2.6,,,,,2.3,34.7,53.9,9,.1,
2000Q1,93,,,,,,,,,,,
2000Q1,94,2.4,,,,,20,50,30,,,
2000Q1,95,2.4,,4.0404040404,4.0404040404,13.6363636364,13.6363636364,18.6868686869,18.6868686869,11.1111111111,11.1111111111,5.0505050505
2001Q1,1,2.5,,,,,30,30,40,,,
2001Q1,3,2.4,,,,,10,50,40,,,
2001Q1,5,2.8,,,,,5,10,55,20,10,
2001Q1,7,2.6,,,,,,,,,,
2001Q1,9,2.3,,,,,10,80,10,,,
2001Q1,10,2.5,,,,,5,40,50,5,,
2001Q1,11,2.5,,,,,5,30,60,5,,
2001Q1,14,2.3,,,,,,70,30,,,
2001Q1,16,2.8,,,5,5,5,10,30,30,10,5
2001Q1,19,2.3,,,,,,100,,,,
2001Q1,20,2.6,,,,,,50,50,,,
2001Q1,23,2.8,,,,,10,30,40,20,,
2001Q1,26,2.3,,,,10,20,40,20,10,,
2001Q1,28,,,,,,,20,70,10,,
2001Q1,29,,,,,,,,,,,
2001Q1,31,3,,,,,,,,,,
2001Q1,32,2.8,,,,,10,30,50,10,,
2001Q1,33,2.7,,,,,,15,80,5,,
2001Q1,34,2.6,,,,,,15,70,15,,
2001Q1,35,,,,,,,,,,,
2001Q1,36,2.4,,,,,30,50,20,,,
2001Q1,37,3,,,,,,10,80,10,,
2001Q1,38,2.6,,,,,,40,60,,,
2001Q1,39,2.8,,,,,,10,55,35,,
2001Q1,41,2.8,,,,,,,90,10,,
2001Q1,42,2.7,,,,,,30,40,30,,
2001Q1,45,,,,,,,,,,,
2001Q1,46,2.21,.1,1.95,1.95,17.1,17.1,24.65,24.65,6,6,.5
2001Q1,47,,,,,,,,,,,
2001Q1,48,2.8,,,,,,20,50,30,,
2001Q1,52,2.5,,,,,10,30,40,20,,
2001Q1,53,2.8,,,,,,40,40,20,,
2001Q1,54,2.8,,,,5,10,25,35,20,5,
2001Q1,55,2.7,,,.2002002002,1.9019019019,8.6086086086,20.5205205205,27.2272272272,21.8218218218,12.6126126126,7.1071071071
2001Q1,56,2.5,,,,,,20,80,,,
2001Q1,59,2.8,,,,,,30,70,,,
2001Q1,62,,,,,,,,,,,
2001Q1,63,,,,,,,,,,,
2001Q1,64,3,1.9801980198,1.9801980198,2.9702970297,6.9306930693,10.8910891089,13.8613861386,18.8118811881,34.6534653465,4.9504950495,2.9702970297
2001Q1,65,2.8,,,,,,30,40,30,,
2001Q1,67,2.4,,,,,,60,40,,,
2001Q1,70,3.2,,,,,,10,40,40,10,
2001Q1,72,2.6,,,2,8,10,20,30,20,8,2
2001Q1,73,2.6,,,,,,50,50,,,
2001Q1,76,3.2,,,,2.5,5,10,20,25,20,17.5
2001Q1,85,2.5,,,,1,7,30,35,20,6,1
2001Q1,87,2.8,,,,,5,20,45,25,5,
2001Q1,88,2.7,,,,5,10,25,35,20,5,
2001Q1,90,2.8,,,,,,,95,5,,
2001Q1,91,2.7,.0998003992,.3992015968,1.6966067864,5.4890219561,12.5748502994,20.3592814371,23.3532934132,18.9620758483,10.9780439122,6.0878243513
2001Q1,93,,,,,,,,,,,
2001Q1,94,2.8,,,,,,60,40,,,
2001Q1,95,2.7,,2.5,2.5,10.5,10.5,18,18,13,13,12
,,,,,,,,,,,,
EXPECTED UNEMPLOYMENT RATE; PERCENTAGE OF LABOUR FORCE,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T9_0,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0T11_4,F11_5T11_9,F12_0,,
1999,1,10.5,,,,33.3333333333,55.5555555556,11.1111111111,,,,
1999,3,10.4,,,,60,40,,,,,
1999,5,10.2,,,,55,45,,,,,
1999,7,10.3,,,,,,,,,,
1999,9,10.6,,,,10,80,10,,,,
1999,10,10.3,,,10,60,30,,,,,
1999,11,10.3,,,10,80,10,,,,,
1999,14,10.3,,,,90,10,,,,,
1999,16,10.3,,,10,35,30,25,,,,
1999,19,10.5,,,,25,75,,,,,
1999,20,10.5,,,,50,50,,,,,
1999,23,10.3,,,,50,50,,,,,
1999,26,10.3,,,5,90,5,,,,,
1999,28,10.2,,,15,70,15,,,,,
1999,29,10.2,,,1,89,10,,,,,
1999,31,10.3,,,15,50,35,,,,,
1999,32,10.3,,,10,60,30,,,,,
1999,33,10,,,5,90,5,,,,,
1999,34,10.4,,,,50,50,,,,,
1999,35,10.2,,,20,60,20,,,,,
1999,36,10.4,,,10,70,20,,,,,
1999,37,10.4,,,,70,30,,,,,
1999,38,10.3,,,10,90,,,,,,
1999,39,10.3,,,,75,25,,,,,
1999,41,10.4,,,,75,25,,,,,
1999,42,10.3,,,10,90,,,,,,
1999,45,10.4,,,,100,,,,,,
1999,46,10.28,,,,50,50,,,,,
1999,47,,,,,,,,,,,
1999,48,10.3,,,,30,70,,,,,
1999,52,10.3,,,,60,40,,,,,
1999,53,10.3,,,,80,20,,,,,
1999,54,9.9,,,40,40,20,,,,,
1999,55,10.3,.7007007007,5.5055055055,21.021021021,34.9349349349,26.4264264264,9.6096096096,1.7017017017,.1001001001,,
1999,56,10.3,,,,100,,,,,,
1999,59,10.3,,,10,80,10,,,,,
1999,62,10.8,,,,10,80,10,,,,
1999,63,10.3,,,40,60,,,,,,
1999,64,10.3,,,15,70,15,,,,,
1999,65,10.2,,,10,90,,,,,,
1999,67,10.4,,,,50,50,,,,,
1999,70,10.2,,5,30,55,10,,,,,
1999,72,10.3,,,15,70,15,,,,,
1999,73,,,,,,25,75,,,,
1999,76,10.3,,10,20,40,20,10,,,,
1999,85,10.3,,,10,80,10,,,,,
1999,87,10.3,,,10,55,35,,,,,
1999,88,10.2,,,25,60,15,,,,,
1999,90,10.5,,,,30,70,,,,,
1999,91,10.3,,.3996003996,15.4845154845,58.8411588412,24.2757242757,.999000999,,,,
1999,93,10.9,,5,5,5,30,30,15,10,,
1999,94,11,,,,,50,50,,,,
1999,95,10.1,,20.297029703,20.297029703,27.7227722772,27.7227722772,1.9801980198,1.9801980198,,,
